"fecha","fk_id_marea","tons"
"2004-12-11",446,0.915
"2004-12-12",446,0
"2004-12-13",446,4.605
"2004-12-14",446,2.745
"2004-12-15",446,4.11
"2004-12-16",446,8.655
"2004-12-17",446,9.84
"2004-12-18",446,6.27
"2004-12-19",446,7.14
"2004-12-20",446,9.18
"2004-12-21",446,6.51
"2004-12-22",446,6.165
"2004-12-23",446,7.365
"2004-12-24",446,7.02
"2004-12-25",446,2.22
"2004-12-26",446,7.38
"2004-12-27",446,6.81
"2004-12-28",446,5.415
"2004-12-29",446,6
"2004-12-30",446,9.66
"2004-12-31",446,6.705
"2005-01-01",455,7.065
"2005-01-02",455,6.09
"2005-01-03",455,11.625
"2005-01-04",455,10.53
"2005-01-05",455,2.82
"2005-01-06",455,6.12
"2005-01-07",455,6.63
"2005-01-08",455,5.43
"2005-01-09",455,12.15
"2005-01-10",455,5.925
"2005-01-11",455,7.125
"2005-01-12",455,7.485
"2005-01-13",455,7.665
"2005-01-14",455,6
"2005-01-15",455,2.715
"2005-01-16",455,0
"2005-04-03",456,0
"2005-04-04",456,8.04
"2005-04-05",456,8.88
"2005-04-06",456,11.01
"2005-04-07",456,8.34
"2005-04-08",456,5.64
"2005-04-09",456,13.02
"2005-04-10",456,11.01
"2005-04-11",456,11.13
"2005-04-12",456,10.545
"2005-04-13",456,11.685
"2005-04-14",456,12.405
"2005-04-15",456,12.75
"2005-04-16",456,12.3
"2005-04-17",456,11.4
"2005-04-18",456,11.385
"2005-04-19",456,11.625
"2005-04-20",456,11.49
"2005-04-21",456,10.05
"2005-04-22",456,10.665
"2005-04-23",456,12.57
"2005-04-24",456,4.8
"2005-04-25",456,10.08
"2005-04-26",456,0
"2005-04-29",457,0
"2005-04-30",457,0
"2005-05-01",457,0
"2005-05-02",457,0
"2005-05-03",457,0
"2005-05-04",457,0
"2005-05-05",457,0
"2005-05-06",457,0
"2005-05-07",457,0
"2005-05-08",457,0
"2005-05-09",457,0
"2005-05-10",457,0
"2005-05-11",457,0
"2005-05-12",457,0
"2005-04-29",457,8.625
"2005-04-30",457,10.455
"2005-05-01",457,8.115
"2005-05-02",457,11.325
"2005-05-03",457,9.78
"2005-05-04",457,9.855
"2005-05-05",457,9.12
"2005-05-06",457,9.105
"2005-05-07",457,8.745
"2005-05-08",457,8.295
"2005-05-09",457,10.05
"2005-05-10",457,8.025
"2005-05-11",457,9.18
"2005-05-12",457,8.295
"2005-05-13",457,6.48
"2005-05-14",457,8.64
"2005-05-15",457,7.29
"2005-05-16",457,8.22
"2005-05-17",457,7.8
"2005-05-18",457,4.83
"2005-05-19",457,8.28
"2005-05-20",457,6.615
"2005-05-21",457,3.735
"2005-05-22",457,5.505
"2005-05-23",457,9.18
"2005-05-24",457,7.68
"2005-05-25",457,7.365
"2005-05-26",457,7.245
"2005-05-27",457,2.295
"2005-05-28",457,0
"2005-05-30",458,0
"2005-05-31",458,0
"2005-06-01",458,0
"2005-06-02",458,0
"2005-06-03",458,0
"2005-06-04",458,0
"2005-06-05",458,0
"2005-06-06",458,0
"2005-05-30",458,6.375
"2005-05-31",458,7.035
"2005-06-01",458,7.2
"2005-06-02",458,5.055
"2005-06-03",458,0
"2005-06-04",458,1.23
"2005-06-05",458,8.895
"2005-06-06",458,12.075
"2005-06-07",458,12.165
"2005-06-08",458,12.09
"2005-06-09",458,12.555
"2005-06-10",458,14.085
"2005-06-11",458,13.515
"2005-06-12",458,13.11
"2005-06-13",458,12.3
"2005-06-14",458,12.09
"2005-06-15",458,12.435
"2005-06-16",458,12
"2005-06-17",458,11.16
"2005-06-18",458,10.725
"2005-06-19",458,11.19
"2005-06-20",458,10.83
"2005-06-21",458,12.045
"2005-06-22",458,0
"2005-06-25",459,0
"2005-06-26",459,0
"2005-06-27",459,0
"2005-06-28",459,0
"2005-06-29",459,0
"2005-06-30",459,0
"2005-07-01",459,0
"2005-07-02",459,0
"2005-07-03",459,0
"2005-07-04",459,0
"2005-07-05",459,0
"2005-07-06",459,0
"2005-07-07",459,0
"2005-06-25",459,3.45
"2005-06-26",459,9.345
"2005-06-27",459,8.52
"2005-06-28",459,5.85
"2005-06-29",459,6.24
"2005-06-30",459,8.64
"2005-07-01",459,7.305
"2005-07-02",459,7.005
"2005-07-03",459,7.2
"2005-07-04",459,6.81
"2005-07-05",459,8.625
"2005-07-06",459,9.075
"2005-07-07",459,8.73
"2005-07-08",459,7.92
"2005-07-09",459,1.92
"2005-07-10",459,1.17
"2005-07-11",459,5.7
"2005-07-12",459,7.005
"2005-07-13",459,5.7
"2005-07-14",459,5.415
"2005-07-15",459,5.685
"2005-07-16",459,6.255
"2005-07-17",459,2.55
"2005-07-18",459,0.855
"2005-07-19",459,2.445
"2005-07-20",459,3.42
"2005-07-21",459,4.335
"2005-07-22",459,4.305
"2005-07-23",459,5.025
"2005-07-24",459,5.415
"2005-07-25",459,4.86
"2005-07-26",459,6.12
"2005-07-27",459,4.605
"2005-07-28",459,4.275
"2005-07-29",459,0
"2005-08-04",460,4.02
"2005-08-05",460,5.685
"2005-08-06",460,5.19
"2005-08-07",460,4.89
"2005-08-08",460,0.57
"2005-08-09",460,5.7
"2005-08-10",460,3.165
"2005-08-11",460,2.775
"2005-08-12",460,2.85
"2005-08-13",460,10.65
"2005-08-14",460,8.85
"2005-08-15",460,8.25
"2005-08-16",460,10.11
"2005-08-17",460,5.355
"2005-08-18",460,4.53
"2005-08-19",460,5.925
"2005-08-20",460,5.67
"2005-08-21",460,3.825
"2005-08-22",460,6
"2005-08-23",460,6
"2005-08-24",460,5.685
"2005-08-25",460,6.66
"2005-08-26",460,5.76
"2005-08-27",460,7.365
"2005-08-28",460,8.085
"2005-08-29",460,7.365
"2005-08-30",460,6.435
"2005-08-31",460,7.305
"2005-09-01",460,6.63
"2005-09-02",460,6.51
"2005-09-03",460,6.51
"2005-09-04",460,5.73
"2005-09-05",460,6.51
"2005-09-06",460,7.185
"2005-09-07",460,2.265
"2005-09-08",460,0
"2005-09-20",461,0.165
"2005-09-21",461,4.215
"2005-09-22",461,6.795
"2005-09-23",461,7.815
"2005-09-24",461,2.175
"2005-09-25",461,3.015
"2005-09-26",461,7.935
"2005-09-27",461,10.605
"2005-09-28",461,10.41
"2005-09-29",461,6.9
"2005-09-30",461,0
"2005-10-04",461,4.395
"2005-10-05",461,6.18
"2005-10-06",461,6.105
"2005-10-07",461,5.835
"2005-10-08",461,4.41
"2005-10-09",461,5.07
"2005-10-10",461,6.33
"2005-10-11",461,5.67
"2005-10-12",461,4.65
"2005-10-13",461,2.67
"2005-10-14",461,3.585
"2005-10-15",461,7.29
"2005-10-16",461,6.015
"2005-10-17",461,6.105
"2005-10-18",461,5.49
"2005-10-19",461,6.285
"2005-10-20",461,5.505
"2005-10-21",461,5.415
"2005-10-22",461,5.625
"2005-10-23",461,7.155
"2005-10-24",461,4.11
"2005-10-25",461,6.135
"2005-10-26",461,4.395
"2005-10-27",461,3.93
"2005-10-28",461,4.065
"2005-10-29",461,2.43
"2005-10-30",461,0
"2005-11-01",462,0
"2005-11-02",462,0
"2005-11-03",462,3.405
"2005-11-04",462,9.435
"2005-11-05",462,9.735
"2005-11-06",462,9.375
"2005-11-07",462,12.105
"2005-11-08",462,10.38
"2005-11-09",462,8.295
"2005-11-10",462,6.45
"2005-11-11",462,6.345
"2005-11-12",462,8.85
"2005-11-13",462,9.765
"2005-11-14",462,12.525
"2005-11-15",462,10.59
"2005-11-16",462,6.855
"2005-11-17",462,6
"2005-11-18",462,0
"2005-11-20",462,0
"2005-11-21",462,3.93
"2005-11-22",462,7.005
"2005-11-23",462,7.125
"2005-11-24",462,7.875
"2005-11-25",462,6.09
"2005-11-26",462,6.675
"2005-11-27",462,8.715
"2005-11-28",462,5.88
"2005-11-29",462,9.525
"2005-11-30",462,11.085
"2005-12-01",462,11.175
